City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
495,Huarmey,PE,75.07,clear sky,-10.0681,-78.1522,Hotel Miramar
496,Guaruja,BR,82.0,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
502,Black River,JM,81.0,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
506,Kuala Terengganu,MY,77.0,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
510,Harper,LR,79.2,overcast clouds,4.375,-7.7169,Screensaver
511,Hambantota,LK,77.11,broken clouds,6.1241,81.1185,Bungalow 63
516,Marawi,PH,77.0,scattered clouds,7.9986,124.2928,Derogongan Residence
517,Poum,NC,79.43,overcast clouds,-20.2333,164.0167,Gîte kajeon
522,Ko Samui,TH,81.18,clear sky,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
524,Fare,PF,83.14,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
525,Davila,PH,80.6,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
530,Saint-Pierre,RE,78.8,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
531,Lai,TD,85.75,broken clouds,9.3952,16.2989,
533,Panguna,PG,80.91,broken clouds,-6.3164,155.4848,
534,Kontagora,NG,83.3,broken clouds,10.3999,5.4695,Queens Guest Inn
538,Da Nang,VN,78.8,broken clouds,16.0678,108.2208,Sun River Hotel
544,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
545,Progreso,MX,75.99,broken clouds,21.2833,-89.6667,Playa Linda Hotel
549,Maiduguri,NG,87.51,broken clouds,11.8464,13.1603,Beach Guest Home
553,Belawan,ID,77.0,mist,3.7755,98.6832,Lilik Hidayat Pulungan
556,Amealco,MX,77.0,scattered clouds,20.1833,-100.15,Hotel Jose Maria
559,Puerto Asis,CO,75.2,heavy intensity rain,0.5133,-76.5007,Ayawaska Hostal
560,Mahibadhoo,MV,81.97,few clouds,3.7833,72.9667,Omadhoo Inn
576,Jawhar,SO,78.35,clear sky,2.7809,45.5005,cosoble spare parts
577,Semporna,MY,77.0,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
579,Pangani,TZ,75.97,clear sky,-5.4333,38.9667,Sea Side Community Hostel
584,Trairi,BR,78.37,clear sky,-3.2778,-39.2689,janelas do mar
585,Poso,ID,75.99,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
593,Ambon,ID,77.0,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
605,Ejura,GH,77.68,broken clouds,7.3856,-1.3562,Fire Servece
611,Kavieng,PG,84.07,moderate rain,-2.5744,150.7967,Nusa Island Retreat
614,Neiafu,TO,84.2,few clouds,-18.65,-173.9833,Mystic Sands
625,Biak,ID,79.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
629,Pedernales,DO,78.82,few clouds,18.0384,-71.744,Hotel Costa Marina
630,Aquiraz,BR,82.4,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
639,Saint Peter,BB,77.0,few clouds,13.25,-59.6167,Legend Garden Condos
644,Wad Rawah,SD,84.0,scattered clouds,15.1603,33.1397,ود الترابي
647,Bo Rai,TH,82.0,few clouds,12.5728,102.5371,Baiboon Resort
649,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
650,Manokwari,ID,79.34,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
652,Port Blair,IN,77.14,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
653,Cairns,AU,84.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
656,Bamnet Narong,TH,80.06,few clouds,15.4992,101.6897,Jong Jaroen Resort
657,Chon Buri,TH,82.99,clear sky,13.3,101.3,หจก.จารึกคอนสตรัคชั่นแอนด์การ์เด้นท์ และ สมเจตน์ฟาร์ม
658,Kudahuvadhoo,MV,81.84,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
660,Araouane,ML,78.21,clear sky,18.9048,-3.5265,
662,Batticaloa,LK,78.58,light rain,7.7102,81.6924,Grand Star Guest House
671,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
680,Okitipupa,NG,75.99,light rain,6.5047,4.7839,Coastal Hotel & Suites
681,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
